No,Component Name,Category,Keywords,Description,Animation Library,CSS Only,Trigger Type,Complexity,Performance Impact,Accessibility Notes,Best For,Do Not Use For,Mobile Friendly,Implementation Hints
1,Letter Swap Hover,Text,"letter swap hover text character transition","Individual letters animate out and new letters animate in on hover",Motion/Framer Motion,No,hover,Medium,Low,"Ensure text remains readable; provide static fallback for reduced-motion","Navigation links, CTAs, portfolio headers","Body text, mobile-primary interfaces",Partial,"Split text into spans per character; animate each with staggered delay; use layoutId or FLIP technique"
2,Typewriter Effect,Text,"typewriter typing cursor blink text reveal","Text appears character by character with a blinking cursor",CSS or Motion,Yes,load/scroll,Low,Low,"Use aria-live polite for dynamic content; ensure final text is accessible","Hero headings, terminal-style UIs, landing pages","Long paragraphs, critical information that must be immediately readable",Yes,"CSS: @keyframes with steps(); JS: setInterval with charAt; cursor via border-right animation"
3,Scramble Text,Text,"scramble decrypt decode text random characters","Text cycles through random characters before resolving to final text",GSAP or custom JS,No,hover/load,Medium,Low,"Provide instant text for screen readers via aria-label","Headings, hover effects on links, loading states","Body copy, accessibility-critical content",Yes,"requestAnimationFrame loop; random charset (ASCII/Unicode); resolve characters sequentially"
4,Glitch Text,Text,"glitch distortion text clip-path RGB shift","Text appears with RGB split and clip-path distortion glitch effect",CSS,Yes,load/hover,Medium,Low,"Use sparingly; can trigger seizures in photosensitive users; respect prefers-reduced-motion","Gaming, cyberpunk aesthetics, error states, creative portfolios","Healthcare, finance, accessibility-focused apps",Yes,"Multiple text-shadow with offset RGB colors; clip-path with @keyframes; pseudo-elements for layers"
5,Gradient Text,Text,"gradient text color animated shifting background-clip","Text filled with animated gradient colors",CSS,Yes,load/continuous,Low,Low,"Ensure sufficient contrast ratio against background at all gradient points","Headlines, feature highlights, brand elements","Small text, body copy",Yes,"background: linear-gradient with animation; -webkit-background-clip: text; -webkit-text-fill-color: transparent"
6,Text Blur Reveal,Text,"blur text reveal focus clear animation","Text transitions from blurred to sharp focus",Motion or CSS,Yes,scroll/load,Low,Low,"Ensure text is immediately readable for screen readers","Section headings, scroll reveals, emphasis moments","Navigation labels, buttons, critical UI text",Yes,"filter: blur() with transition; animate from blur(10px) to blur(0); combine with opacity"
7,Split Text Reveal,Text,"split text word character reveal stagger animation","Words or characters animate in separately with stagger timing",GSAP or Motion,No,scroll/load,Medium,Low,"Final text state must be fully accessible; use aria-label on container","Hero sections, page titles, scroll storytelling","Dense content, tables, lists",Yes,"Split text into span elements; apply staggered translateY + opacity; IntersectionObserver trigger"
8,Scroll Float Text,Text,"scroll float text parallax velocity speed","Text moves at different speeds based on scroll velocity",GSAP ScrollTrigger or Lenis,No,scroll,Medium,Medium,"Respect reduced-motion; can cause motion sickness","Editorial layouts, storytelling, artistic pages","Data-heavy UIs, dashboards, forms",Partial,"Track scroll velocity with Lenis; apply transform based on delta; use will-change: transform"
9,Rotating Text,Text,"rotating text cycle words swap vertical","Words cycle through a fixed position with rotation animation",Motion or CSS,Yes,continuous/timer,Low,Low,"Include all cycling words in aria-label; announce current word","Taglines, hero subtitles, feature highlights","Error messages, navigation, labels",Yes,"overflow: hidden container; translateY animation on word list; use AnimatePresence for React"
10,Variable Font Cursor,Text,"variable font weight width cursor proximity interactive","Font weight/width changes based on cursor proximity to each letter",Custom JS,No,cursor,High,Medium,"Must work without cursor (touch fallback); ensure all states meet contrast","Creative portfolios, artistic headers, experimental UIs","Production SaaS, mobile apps, body text",No,"Calculate distance from cursor to each character; map distance to font-variation-settings axis values"
